,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
1901,Company Invited,3,Small Business,FEMALE,2.0,3.0,Standard,3.0,1,0,2,Manager,299535.0,結婚済み 車未所持 子供1人,0,55,360.0
1902,Company Invited,2,Salaried,Male,2.0,3.0,Standard,3.0,5,0,2,Senior Manager,336735.0,未婚	自動車所有	子供なし,0,40,360.0
1903,Company Invited,2,Salaried,Female,2.0,3.0,Standard,3.0,2,0,2,Senior Manager,351480.0,"離婚済み,自動車所有,子供1人",0,51,720.0
1904,Self Enquiry,2,Salaried,Male,2.0,300.0,Basic,3.0,年に2回,0,2,Executive,271125.0,結婚済み、車未所持、こども1人,0,32,480.0
1905,Company Invited,2,Small Business,Ｍａｌｅ,2.0,4.0,Standard,3.0,年に3回,0,2,Senior Manager,月収38.0万円,未婚、車未所持、子供1人,1,34,1020.0
1906,Company Invited,2,Small Business,Male,2.0,3.0,Basic,3.0,年に6回,0,2,Executive,月収30.0万円,結婚済み　車あり　子供無し,0,38,540.0
1907,Company Invited,3,Salaried,Fe Male,2.0,3.0,Standard,3.0,2,0,1,Senior Manager,429030.0,離婚済み、車所持、子供なし,0,41,840.0
1908,Company Invited,3,Small Business,Female,2.0,3.0,Basi𝘤,3.0,3,0,2,Executive,249600.0,離婚済み、車あり、無子,1,26,780.0
1909,Self Enquiry,2,Small Business,Male,2.0,300.0,Deluxe,4.0,5,0,1,Manager,316605.0,離婚済み 車所持 子供なし,0,42,1080.0
1910,Self Enquiry,2,Salaried,MALE,2.0,3.0,Deluxe,3.0,3,0,1,Manager,317715.0,結婚済み 車未所持 子供ゼロ,0,33,1140.0
1911,Company Invited,2,Small Business,Male,2.0,3.0,Basic,4.0,2,0,2,Executive,266070.0,独身、車未所持、子供なし,1,38,960.0
1912,Company Invited,2,Salaried,male,2.0,3.0,Standard,3.0,3,0,2,Senior Manager,387615.0,結婚済み 車未所持 こども1人,0,36,840.0
1913,Company Invited,2,Salaried,Female,2.0,4.0,Basic,3.0,2,0,1,Executive,259500.0,離婚済み、自動車所有、子供無し,0,38,900.0
1914,Self Enquiry,3,Salaried,Female,2.0,3.0,Basic,3.0,2,0,1,Executive,263040.0,"離婚済み,自動車所有,子供なし",0,19,900.0
1915,Self Enquiry,2,Salaried,female,2.0,3.0,Standard,3.0,5,0,2,Senior Manager,月収40.0万円,"未婚、自動車未所有,子供なし",0,34,900.0
1916,Self Enquiry,2,Small Business,Male,2.0,3.0,Deluxe,4.0,3,0,2,Mαnager,322260.0,独身、車未所持、子供なし,0,39,900.0
1917,Self Enquiry,2,Salaried,male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,411150.0,"離婚済み,自動車未所有,子供1人",0,40,540.0
1918,Self Enquiry,2,Small Business,Female,2.0,4.0,Deluxe,3.0,3,0,1,Manager,370695.0,離婚済み	車なし	子供1人,0,32,900.0
1919,Self Enquiry,3,Small Business,fe male,2.0,3.0,Super Deluxe,3.0,年に3回,0,2,AVP,477090.0,未婚 車所持　子供なし,0,52,840.0
1920,Self Enquiry,2,Salaried,male,2.0,3.0,Standard,3.0,5,0,2,Senior Manager,367425.0,独身/車未所持/非育児家庭,1,46,1920.0
1921,Company Invited,2,Large Business,Female,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,380985.0,結婚済み、車あり、子供無し,0,40,420.0
1922,Company Invited,2,Small Business,Female,2.0,3.0,Deluxe,3.0,2,0,2,Manager,346410.0,"離婚済み、自動車所有,子供なし",0,50,1380.0
1923,Self Enquiry,2,Salaried,Ｍａｌｅ,2.0,3.0,King,4.0,1,0,2,VP,522675.0,離婚済み、車未所持、子供なし,0,56,720.0
1924,Self Enquiry,2,Salaried,Male,2.0,3.0,Basic,3.0,年に5回,0,1,Executive,264300.0,結婚済み／自家用車なし／子供1人,0,38,420.0
1926,Company Invited,3,Salaried,Female,2.0,3.0,Standard,4.0,2,0,2,Senior Manager,352635.0,離婚済み、自動車所有、子供ゼロ,0,26,600.0
1927,Company Invited,3,Large Business,FEMALE,2.0,3.0,Standard,3.0,2,0,2,Senior Manager,月収30.0万円,離婚済み 車所持 子供1人,0,22,360.0
1928,Self Enquiry,2,Salaried,Male,2.0,4.0,Deluxe,3.0,2,0,1,Manager,355470.0,未婚 自動車未所有 子供1人,0,33,1560.0
1929,Company Invited,2,Large Business,Ｍａｌｅ,2.0,3.0,Basic,3.0,3,0,2,Executive,263130.0,独身 車未所持 子供なし,0,21,960.0
1930,Company Invited,2,Large Business,Female,2.0,4.0,Basic,3.0,7,0,2,Executive,273915.0,独身	自動車所有	無子,1,34,1080.0
1931,Self Enquiry,3,Salaried,Ｍａｌｅ,2.0,3.0,Deluxe,3.0,2,0,1,Manager,322320.0,離婚済み 自家用車なし 子供1人,0,36,1620.0
1932,Company Invited,2,Small Business,Ｆｅｍａｌｅ,2.0,3.0,Basic,3.0,3,0,1,Executive,249315.0,離婚済み 車保有 子供なし,0,26,420.0
1933,Company Invited,2,Salaried,MALE,2.0,3.0,Deluxe,3.0,年に2回,0,2,Manager,367995.0,未婚 車未所持 子供無し,0,30,660.0
1934,Company Invited,3,Salaried,Male,2.0,3.0,standard,3.0,5,0,1,Senior Manager,315105.0,"未婚、車あり,子供1人",0,38,660.0
1935,Self Enquiry,2,Salaried,Male,2.0,3.0,Deluxe,3.0,1,0,2,Manager,316005.0,離婚済み、乗用車所持、子供なし,0,30,1080.0
1936,Self Enquiry,2,Salaried,Male,2.0,3.0,SUPER DELUXE,3.0,4,0,1,AVP,458625.0,離婚済み／乗用車所持／子供なし,0,45,720.0
1937,Company Invited,2,Small Business,Male,2.0,3.0,Super Deluxe,3.0,2,0,2,AVP,479655.0,未婚、乗用車所持、子供1人,0,34,420.0
1938,Self Enquiry,2,Salaried,Female,3.0,5.0,Basic,3.0,2,0,3,Executive,366465.0,離婚済み 車あり こども1人,0,54,420.0
1939,Self Enquiry,1,Small Business,MALE,3.0,6.0,Basic,3.0,年に3回,0,2,Executive,331170.0,結婚済み、車未所持、子供1人,0,52,660.0
1940,Self Enquiry,1,Large Business,Ｍａｌｅ,3.0,5.0,Super Deluxe,3.0,1,0,2,VP,535845.0,離婚済み／自動車未所有／子供2人,0,43,540.0
1941,Company Invited,1,Small Business,Ｍａｌｅ,4.0,4.0,Basic,3.0,3,0,2,Executive,325725.0,結婚済み 車保有なし 子供2人,0,31,660.0
1942,Self Enquiry,2,Small Business,Male,4.0,5.0,DELUXE,3.0,3,0,2,Manager,350850.0,結婚済み 車未所持 こども1人,0,30,840.0
1944,Company Invited,1,Small Business,Male,1.0,3.0,Basıc,3.0,年に2回,0,4,Executive,253845.0,独身 車未所持 子供なし,0,22,1440.0
1945,Company Invited,1,Small Business,Female,2.0,2.0,Basic,3.0,2,0,4,Executive,337980.0,離婚済み/自家用車なし／子供1人,0,32,900.0
1946,Self Enquiry,1,Small Business,Male,2.0,3.0,Basic,3.0,3,0,3,Executive,250905.0,結婚済み/自動車所有/子供1人,0,24,960.0
1948,Self Enquiry,1,Salaried,Ｆｅｍａｌｅ,2.0,3.0,Deluxe,3.0,4,0,4,Manager,322560.0,"未婚,自動車未所有,子供1人",0,49,600.0
1949,Self Enquiry,2,Salaried,ｆｅ　ｍａｌｅ,2.0,3.0,DELUXE,3.0,2,1,1,Manager,351285.0,未婚	車所持	子供なし,0,30,540.0
1950,Company Invited,3,Salaried,female,2.0,3.0,Standard,3.0,2,1,2,Senior Manager,382335.0,未婚 自動車所有 子供なし,0,29,900.0
1951,Company Invited,2,Salaried,Fe Male,2.0,4.0,STANDARD,3.0,5,1,1,Senior Manager,月収45.0万円,離婚済み、自家用車あり、子供有り 1人,0,47,720.0
1952,Self Enquiry,2,Small Business,female,2.0,3.0,standard,3.0,2,1,2,Senior Manager,365205.0,結婚済み、車所持、子供なし,0,52,420.0
1953,Self Enquiry,2,Salaried,Male,2.0,3.0,Standard,3.0,年に3回,1,2,Senior Manager,344745.0,結婚済み、車未所持、無子,0,37,960.0
1954,Self Enquiry,2,Small Business,Male,2.0,3.0,Deluxe,3.0,年に1回,1,2,Manager,252450.0,結婚済み、自動車未所有、子供なし,0,30,480.0
1955,Self Enquiry,2,Small Business,MALE,3.0,2.0,Deluxe,3.0,年に1回,0,4,Manager,332895.0,"結婚済み,車未所持,こども2人",0,37,1800.0
1956,Company Invited,3,Small Business,Female,2.0,1.0,Basic,3.0,2,0,3,Executive,311325.0,結婚済み　車所持　1児,0,20,900.0
1957,Company Invited,2,Small Business,Ｍａｌｅ,2.0,2.0,Deluxe,3.0,5,0,4,Manager,465345.0,"結婚済み
自動車所有
子供1人",0,29,480.0
1958,Self Enquiry,2,Small Business,FEMALE,2.0,2.0,Basic,4.0,年に2回,0,3,Executive,314790.0,離婚済み、車所持、こども1人,0,20,900.0
1959,Self Enquiry,1,Large Business,Male,3.0,5.0,Deluxe,3.0,3,0,4,Manager,358875.0,結婚済み、乗用車なし、子供1人,0,34,1020.0
1960,Company Invited,2,Small Business,Female,2.0,3.0,SUPER DELUXE,3.0,2,0,2,Executive,274245.0,"離婚済み,自動車未所有,子供なし",1,33,900.0
1961,Self Enquiry,1,Salaried,Female,4.0,5.0,Deluxe,3.0,年に3回,0,2,Manager,378930.0,未婚 車未所持 こども2人,0,38,840.0
1962,Company Invited,1,Salaried,Male,2.0,3.0,Standard,3.0,2,0,2,Senior Manager,357570.0,結婚済み／車あり／無子,0,36,1620.0
1963,Self Enquiry,1,Small Business,Male,2.0,3.0,Deluxe,3.0,6,0,1,Manager,271560.0,"結婚済み、車未所持,子供なし",0,38,840.0
1964,Company Invited,1,Salaried,MALE,2.0,3.0,Delu×e,3.0,4,0,1,Manager,327075.0,離婚済み、車未所持、子供なし,0,36,540.0
1965,Company Invited,1,Salaried,Male,2.0,4.0,Deluxe,3.0,3,0,1,Manager,月収30.0万円,結婚済み／自動車未所有/こども1人,0,36,600.0
1966,Self Enquiry,1,Salaried,female,2.0,3.0,basic,3.0,4,0,1,Executive,264315.0,離婚済み、車未所持、子供なし,0,35,540.0
1967,Company Invited,1,Small Business,Male,2.0,3.0,DELUXΕ,3.0,1,0,2,Manager,291705.0,結婚済み/自動車未所有/こども1人,0,30,780.0
1968,Self Enquiry,1,Salaried,MALE,2.0,3.0,Deluxe,3.0,1,0,2,Manager,311100.0,独身、車未所持、子供有り 1人,0,35,660.0
1969,Self Enquiry,1,Large Business,ｍａｌｅ,2.0,3.0,Basic,3.0,2,0,2,Executive,259110.0,結婚済み 車未所持 子供なし,1,40,600.0
1970,Company Invited,1,Large Business,Male,2.0,3.0,Standard,3.0,4,0,2,Senior Manager,392835.0,独身　自動車未所有　こども1人,0,30,660.0
1971,Self Enquiry,1,Small Business,Female,2.0,3.0,Basic,3.0,2,0,2,Executive,月収26.0万円,結婚済み、自動車未所有、子供1人,1,23,840.0
1972,Self Enquiry,1,Salaried,male,2.0,3.0,Ѕtandard,3.0,4,0,2,Senior Manager,315930.0,独身	自家用車なし	子供なし,1,40,480.0
1973,Self Enquiry,1,Small Business,Male,2.0,4.0,𐊡asi𝘤,3.0,2,0,1,Exеcutive,260805.0,独身、自動車所有、子供1人,0,30,1140.0
1974,Company Invited,1,Small Business,Ｍａｌｅ,2.0,3.0,Basic,3.0,1,0,2,Executive,255255.0,離婚済み 自家用車あり 子供なし,1,38,1080.0
1975,Company Invited,1,Small Business,male,2.0,3.0,Standard,4.0,年に2回,0,2,Senior Manager,314730.0,結婚済み　車所持　子供なし,0,34,1320.0
1976,Company Invited,1,Small Business,Male,2.0,3.0,Deluxe,4.0,1,0,2,Manager,月収30.0万円,結婚済み 自動車所有 子供ゼロ,0,38,1440.0
1977,Company Invited,1,Small Business,Female,2.0,3.0,Super Deluxe,3.0,5,0,1,AVP,388155.0,独身、自家用車なし、子供無し,0,41,480.0
1978,Company Invited,1,Salaried,fe male,2.0,3.0,Deluxe,3.0,4,0,1,Manager,344985.0,離婚済み、車所持、子供なし,0,54,1380.0
1979,Company Invited,1,Small Business,Fe Male,2.0,4.0,STANDARD,3.0,2,0,2,Senior Manager,360435.0,未婚 自動車未所有 子供1人,0,42,480.0
1980,Self Enquiry,1,Large Business,male,2.0,4.0,basic,3.0,2,0,1,Executive,月収30.0万円,独身、車未所持、子供1人,0,37,600.0
1981,Self Enquiry,1,Small Business,ｆｅｍａｌｅ,2.0,3.0,Basic,3.0,1,0,1,Executive,271995.0,離婚済み、車所持、子供1人,0,38,480.0
1982,Self Enquiry,1,Salaried,MALE,2.0,3.0,Deluxe,3.0,年に7回,0,2,Manager,357060.0,結婚済み、車未所持、1児,0,51,420.0
1983,Self Enquiry,1,Salaried,Male,2.0,3.0,Standard,3.0,年に2回,0,1,Senior Manager,367845.0,"結婚済み,車保有なし,子供なし",0,39,1620.0
1984,Self Enquiry,1,Salaried,Female,3.0,5.0,Deluxe,3.0,年に3回,0,4,Manager,317010.0,独身、自動車未所有、子供有り 1人,0,18,840.0
1985,Company Invited,1,Salaried,male,3.0,6.0,Basic,3.0,5,1,1,Executive,323625.0,離婚済み 車未所持 子供1人,1,37,540.0
1986,Self Enquiry,2,Salaried,Female,2.0,1.0,Deluxe,3.0,2,0,4,Manager,261225.0,"離婚済み,車なし,1児",0,32,1080.0
1987,Self Enquiry,2,Salaried,FE MALE,2.0,3.0,Deluxe,3.0,1,0,3,Manager,327900.0,未婚	車所持	1児,0,29,1440.0
1988,Company Invited,2,Salaried,ＭＡＬＥ,3.0,1.0,Super Deluxe,4.0,7,0,3,AVP,月収43.0万円,独身　車所持　子供2人,0,42,1020.0
1989,Self Enquiry,2,Small Business,Male,3.0,5.0,Basic,3.0,6,0,4,Executive,554670.0,未婚　自動車未所有　子供有り(2人),0,30,960.0
1991,Self Enquiry,1,Small Business,Female,2.0,3.0,Basic,3.0,2,0,3,Executive,256830.0,結婚済み/自動車所有/子供1人,0,31,840.0
1992,Self Enquiry,1,Small Business,Male,2.0,2.0,Basic,3.0,2,0,4,Executive,356280.0,離婚済み/車なし/子供1人,0,40,1440.0
1993,Self Enquiry,1,Small Business,Male,2.0,3.0,Basic,3.0,4,0,4,Executive,262665.0,"結婚済み,自動車未所有,子供1人",0,33,420.0
1995,Company Invited,1,Small Business,ＭＡＬＥ,2.0,3.0,Deluxe,3.0,3,0,4,Manager,314490.0,結婚済み/車未所持/子供1人,0,32,600.0
1996,Self Enquiry,1,Large Business,MALE,2.0,1.0,Basic,3.0,1,0,3,Executive,266190.0,結婚済み 車未所持 1児,0,38,1080.0
1997,Company Invited,1,Small Business,Female,2.0,3.0,Basic,3.0,4,0,5,Executive,264555.0,離婚済み/車保有/子供1人,0,34,1020.0
1998,Company Invited,2,Small Business,Male,2.0,3.0,Super Deluxe,3.0,6,0,1,AVP,473055.0,離婚済み 自動車所有 子供1人,0,52,900.0
1999,Self Enquiry,2,Salaried,Fe Male,2.0,3.0,Standard,3.0,2,0,2,Senior Manager,474180.0,未婚、自家用車あり、こども1人,0,47,780.0
2000,Company Invited,1,Large Business,FEMALE,2.0,3.0,Deluxe,3.0,3,1,2,Manager,341220.0,結婚済み/車未所持/子供なし,0,34,1800.0
2001,Company Invited,1,Small Business,ｍａｌｅ,2.0,3.0,basic,3.0,1,1,2,Executive,月収30.0万円,結婚済み 車未所持 子供1人,1,34,420.0
2002,Company Invited,1,Salaried,Male,2.0,300.0,Basic,4.0,年に4回,1,2,Executive,278370.0,結婚済み／車なし／子供1人,1,45,480.0
2003,Self Enquiry,1,Large Business,MALE,2.0,3.0,Basic,3.0,7,1,2,Executive,277185.0,独身、車所持、子供なし,1,38,420.0
2004,Self Enquiry,1,Salaried,Male,2.0,3.0,King,4.0,6,1,1,VP,532755.0,結婚済み/自動車所有/こども1人,0,49,540.0
2005,Self Enquiry,1,Small Business,Male,2.0,4.0,DELUXE,3.0,3,1,1,Manager,323250.0,結婚済み 自動車未所有 子供1人,0,49,600.0
2006,Self Enquiry,1,Salaried,MALE,2.0,3.0,Deluxe,3.0,年に1回,1,1,Manager,330315.0,離婚済み/車未所持/子供1人,0,48,1260.0
2007,Self Enquiry,1,Small Business,Male,2.0,3.0,Basic,3.0,2,0,2,Executive,273210.0,離婚済み 車未所持 子供なし,0,38,600.0
2008,Self Enquiry,1,Salaried,MALE,2.0,1.0,Basic,3.0,2,0,4,Executive,月収26.0万円,独身 車未所持 こども1人,0,21,960.0
2009,Self Enquiry,1,Salaried,Female,2.0,2.0,DELUXE,3.0,5,0,3,Manager,318705.0,離婚済み	車あり	子供1人,0,41,540.0
2010,Self Enquiry,1,Salaried,Male,2.0,3.0,Deluxe,3.0,3,0,4,Manager,月収30.0万円,結婚済み／自動車未所有／子供有り 1人,0,44,1920.0
2011,Self Enquiry,3,Small Business,Male,2.0,4.0,Super Deluxe,3.0,3,0,2,AVP,月収50.0万円,独身、自動車所有、子供有り(1人),0,41,900.0
2012,Self Enquiry,1,Small Business,Male,4.0,5.0,Deluxe,3.0,3,0,1,Manager,378015.0,離婚済み　車保有なし　2児,0,46,1920.0
2013,Self Enquiry,1,Small Business,Male,4.0,5.0,Deluxe,3.0,2,0,2,Manager,373755.0,未婚、自動車所有、子供有り 2人,0,40,720.0
2014,Self Enquiry,2,Large Business,Male,2.0,4.0,Super Deluxe,3.0,1,0,3,AVP,509865.0,離婚済み、車所持、こども1人,1,51,420.0
2015,Self Enquiry,2,Large Business,Male,3.0,5.0,king,3.0,年に5回,0,3,VP,513105.0,結婚済み 乗用車所持 子供2人,0,51,480.0
2016,Self Enquiry,2,Small Business,male,3.0,5.0,Basic,3.0,3,0,4,Executive,369420.0,離婚済み 車保有 子供2人,0,27,1800.0
2017,Self Enquiry,2,Large Business,Female,3.0,5.0,Basic,3.0,3,0,3,Executive,308550.0,結婚済み/自家用車なし/こども2人,0,22,960.0
2018,Self Enquiry,3,Small Business,Female,3.0,4.0,Basic,3.0,2,0,3,Executive,323910.0,離婚済み、自動車所有、こども1人,0,30,1500.0
2019,Company Invited,3,Small Business,Female,3.0,4.0,BASIC,3.0,3,0,3,Executive,422685.0,結婚済み、乗用車所持、1児,0,29,900.0
2020,Self Enquiry,2,Salaried,MALE,3.0,4.0,BASIC,4.0,7,0,3,Executive,315540.0,結婚済み/車所持/子供有り(1人),0,42,480.0
2021,Self Enquiry,2,Salaried,MALE,3.0,4.0,Basic,3.0,2,0,3,Executive,259905.0,離婚済み/車所持/こども1人,0,40,420.0
2022,Company Invited,3,Salaried,Male,4.0,4.0,Standard,3.0,2,0,1,Senior Manager,331260.0,結婚済み、車未所持、こども1人,0,36,420.0
2023,Self Enquiry,3,Salaried,Ｆｅｍａｌｅ,4.0,4.0,DELUXE,3.0,3,0,1,Manager,月収36.0万円,離婚済み／車保有なし／子供2人,0,39,420.0
2024,Self Enquiry,2,Large Business,Female,4.0,4.0,Deluxe,3.0,5,0,2,Manager,月収30.0万円,離婚済み、車所持、子供2人,0,35,1920.0
2025,Company Invited,2,Salaried,Female,3.0,5.0,DELUXE,3.0,3,0,3,Manager,327300.0,未婚 自動車所有 子供2人,0,21,900.0
2026,Company Invited,2,Small Business,FEMALE,3.0,4.0,Basic,4.0,年に3回,1,3,Exеcutiѵе,月収27.0万円,"離婚済み,車所持,子供なし",1,31,1020.0
2027,Self Enquiry,2,Salaried,Male,3.0,6.0,King,3.0,3,0,4,VP,509250.0,結婚済み　自動車所有　子供1人,0,56,660.0
2028,Self Enquiry,1,Small Business,Female,3.0,5.0,Deluxe,3.0,4,0,3,Manager,364965.0,結婚済み、乗用車なし、こども1人,0,58,540.0
2029,Self Enquiry,1,Small Business,Male,3.0,4.0,Basıc,3.0,3,0,3,Executive,426225.0,"結婚済み,車なし,無子",0,32,360.0
2030,Self Enquiry,1,Small Business,Male,3.0,4.0,Standard,3.0,5,0,4,Senior Manager,391305.0,結婚済み、車未所持、子供1人,0,57,420.0
2031,Self Enquiry,1,Small Business,Fe Male,3.0,4.0,Standard,3.0,2,0,3,Senior Manager,351735.0,結婚済み、乗用車なし、こども1人,0,26,840.0
2032,Self Enquiry,1,Large Business,MALE,3.0,4.0,Basic,3.0,2,0,3,Executive,326625.0,"結婚済み,車未所持、子供1人",0,24,480.0
2033,Company Invited,1,Small Business,Ｆｅ　Ｍａｌｅ,3.0,5.0,Basic,3.0,3,0,4,Executive,370350.0,未婚、自動車未所有、子供1人,0,37,480.0
2034,Self Enquiry,2,Small Business,Ｍａｌｅ,2.0,3.0,Super De|uxe,5.0,年に1回,0,3,AVP,461220.0,結婚済み 自動車未所有 子供なし,0,54,720.0
2035,Self Enquiry,2,Large Business,FEMALE,2.0,3.0,Standard,4.0,5,0,3,Senior Manager,355905.0,離婚済み、車未所持、子供なし,0,33,420.0
2036,Company Invited,2,Small Business,Female,2.0,3.0,Standard,4.0,1,0,3,Senior Manager,月収40.0万円,独身、車未所持、子供なし,0,52,540.0
2037,Self Enquiry,3,Small Business,Male,2.0,3.0,Basic,5.0,2,0,3,Executive,月収27.0万円,結婚済み、自家用車あり、無子,0,26,960.0
2039,Company Invited,2,Large Business,Male,2.0,3.0,Standard,4.0,1,0,3,Senior Manager,月収40.0万円,未婚 乗用車所持 子供無し,0,52,720.0
2040,Company Invited,2,Small Business,Male,2.0,300.0,Basic,4.0,年に2回,0,3,Executive,267660.0,独身 車保有なし 子供無し,0,29,900.0
2041,Self Enquiry,3,Small Business,Female,2.0,3.0,Standard,4.0,1,0,3,Senior Manager,359070.0,結婚済み	自家用車なし	子供無し,0,34,660.0
2042,Company Invited,2,Small Business,female,2.0,3.0,Basic,4.0,2,0,3,Executive,262095.0,離婚済み、車未所持、子供なし,0,37,960.0
2043,Company Invited,1,Small Business,Male,2.0,3.0,Basic,4.0,1,0,4,Executive,265680.0,結婚済み 車保有 子供なし,1,38,600.0
2044,Company Invited,3,Small Business,Male,2.0,3.0,Deluxe,4.0,年に1回,0,3,Manager,274185.0,"離婚済み,自動車未所有,子供無し",1,31,1080.0
2045,Self Enquiry,1,Small Business,Male,2.0,3.0,Basic,4.0,2,0,3,Executive,260925.0,離婚済み、自家用車あり、子供無し,1,40,960.0
2046,Self Enquiry,2,Small Business,Fe Male,2.0,3.0,standard,5.0,1,0,3,Senior Manager,408900.0,"結婚済み,自動車所有、子供なし",1,31,420.0
2047,Company Invited,2,Small Business,female,2.0,3.0,Basic,4.0,2,0,3,Executive,253215.0,"離婚済み、車未所持,子供なし",0,28,960.0
2048,Self Enquiry,1,Small Business,Female,2.0,3.0,Basic,4.0,2,0,4,Executive,268560.0,離婚済み 自動車所有 子供無し,0,41,900.0
2049,Company Invited,1,Large Business,Male,2.0,3.0,Standard,4.0,1,0,3,Senior Manager,350775.0,未婚、車所持、子供なし,1,26,420.0
2050,Self Enquiry,1,Salaried,Ｍａｌｅ,3.0,4.0,Basic,3.0,3,0,3,Executive,350385.0,離婚済み 車所持 子供1人,1,40,480.0
2051,Company Invited,1,Salaried,Female,3.0,4.0,Standard,4.0,年に2回,0,4,Senior Managеr,月収40.0万円,結婚済み、自家用車あり、子供ゼロ,0,50,720.0
2052,Self Enquiry,1,Salaried,male,3.0,4.0,Basic,3.0,7,0,4,Executive,352605.0,離婚済み/車なし/子供なし,0,35,540.0
2053,Self Enquiry,1,Salaried,Male,3.0,4.0,Standard,3.0,5,0,3,Senior Manager,371505.0,結婚済み	車保有	無子,0,48,420.0
2054,Company Invited,1,Salaried,Ｆｅｍａｌｅ,3.0,4.0,Standard,4.0,2,0,3,Senior Manager,389820.0,未婚 車あり　子供なし,0,47,1080.0
2055,Self Enquiry,1,Salaried,Male,3.0,4.0,Deluxe,3.0,3,0,3,Manager,338700.0,離婚済み、自家用車なし、子供無し,0,32,1140.0
2056,Self Enquiry,1,Salaried,Male,3.0,4.0,Basic,3.0,3,0,4,Executive,月収30.0万円,独身 自動車未所有 子供1人,1,49,780.0
2057,Self Enquiry,1,Salaried,Female,2.0,3.0,Super Deluxe,3.0,3,1,1,AVP,483255.0,離婚済み、車未所持、子供無し,0,60,660.0
2058,Company Invited,1,Salaried,Male,2.0,3.0,King,3.0,2,1,1,VP,479070.0,結婚済み　車保有 1児,0,54,600.0
2059,Company Invited,1,Salaried,Male,2.0,4.0,Standard,4.0,4,0,3,Senior Manager,433890.0,結婚済み、自動車未所有、子供なし,0,46,480.0
2060,Company Invited,2,Salaried,Male,2.0,3.0,Basic,5.0,3,0,4,Executive,264705.0,独身、乗用車所持、子供ゼロ,1,30,480.0
2061,Company Invited,1,Salaried,fe male,2.0,3.0,Standard,4.0,1,0,4,Senior Manager,362640.0,"未婚,車所持,子供なし",0,30,960.0
2062,Self Enquiry,3,Salaried,Male,2.0,3.0,Standa𝘳d,4.0,2,0,3,Senior Manager,357420.0,結婚済み 自動車所有 子供なし,0,31,420.0
2063,Company Invited,1,Salaried,Ｆｅｍａｌｅ,2.0,4.0,Standard,4.0,2,0,4,Senior Manager,372165.0,離婚済み 乗用車所持 子供なし,0,34,480.0
2064,Self Enquiry,1,Salaried,Female,2.0,3.0,Basic,4.0,4,0,3,Executive,265920.0,独身、自動車未所有、子供なし,0,38,900.0
2065,Self Enquiry,1,Salaried,Male,2.0,3.0,super deluxe,4.0,1,0,5,AVP,412140.0,離婚済み　自動車所有　子供無し,0,52,1020.0
2066,Company Invited,1,Salaried,Female,2.0,3.0,standard,4.0,4,0,3,Senior Manager,391035.0,独身、車保有なし、子供なし,0,48,480.0
2067,Company Invited,1,Salaried,Male,2.0,3.0,super deluxe,4.0,5,0,4,AVP,374025.0,離婚済み／自動車所有／子供なし,0,60,900.0
2068,Self Enquiry,1,Salaried,Female,4.0,5.0,Basic,4.0,年に2回,0,4,Executiѵe,323850.0,離婚済み、車保有なし、3児,1,22,600.0
2069,Company Invited,3,Small Business,Female,3.0,4.0,Basic,4.0,4,0,4,Executive,263265.0,独身	自動車未所有	子供無し,0,46,420.0
2070,Company Invited,3,Small Business,female,3.0,4.0,Basic,4.0,1,0,3,Executive,254295.0,"離婚済み,車未所持,非育児家庭",0,33,840.0
2071,Self Enquiry,2,Salaried,Female,2.0,3.0,Standard,4.0,5,1,3,Senior Manager,379140.0,未婚 自家用車なし 子供無し,0,36,480.0
2072,Company Invited,1,Salaried,Male,2.0,3.0,Deluxe,4.0,1,1,4,Manager,318720.0,離婚済み/車未所持/子供無し,0,52,780.0
2073,Company Invited,3,Salaried,Fe Male,2.0,3.0,Standard,4.0,1,1,3,Senior Manager,355950.0,未婚、自動車所有、子供なし,1,47,660.0
2074,Company Invited,1,Salaried,Fe Male,2.0,3.0,Standard,4.0,4,1,3,Senior Manager,月収37.0万円,離婚済み／自動車所有／子供無し,0,55,420.0
2075,Company Invited,1,Salaried,male,3.0,4.0,Basic,3.0,5,1,4,Executive,311820.0,離婚済み、車未所持、子供1人,1,43,1620.0
2076,Self Enquiry,1,Small Business,Male,2.0,4.0,Basic,4.0,7,0,3,Executive,月収31.0万円,独身 乗用車なし　こども1人,0,28,900.0
2077,Company Invited,1,Small Business,FEMALE,2.0,4.0,Basic,4.0,5,0,4,Executive,321225.0,結婚済み、車所持、子供なし,0,44,480.0
2078,Self Enquiry,2,Salaried,Male,4.0,4.0,Deluxe,4.0,3,0,2,Manager,363240.0,結婚済み	車未所持	子供有り 2人,0,20,1860.0
2079,Self Enquiry,2,Small Business,Female,4.0,5.0,BASIC,3.0,2,0,2,Executive,495345.0,独身/車未所持/子供1人,0,22,660.0
2080,Self Enquiry,2,Small Business,Female,4.0,5.0,Deluxe,3.0,2,0,2,Senior Manager,448110.0,結婚済み	自動車所有	こども1人,0,28,1080.0
